author_id,author_name,author_page_url,birthplace,book_average_rating,book_fullurl,book_id,book_title,genre_1,genre_2,pages,year_publication,fiction_nonfiction,period_publication,genre_number
8105,Kate Douglas Wiggin ,/author/show/8105.Kate_Douglas_Wiggin,USA and Canada,3.86,https://www.goodreads.com/book/show/17529.Rebecca_of_Sunnybrook_Farm,17529,       Rebecca of Sunnybrook Farm ,Classics,Fiction,184,1903,Fiction,20th century or before,3
38266,Selma Lagerlöf ,/author/show/38266.Selma_Lagerl_f,Europe,4.04,https://www.goodreads.com/book/show/771287.The_Wonderful_Adventures_of_Nils,771287,       The Wonderful Adventures of Nils ,Classics,Childrens,240,1906,Fiction,20th century or before,3
5428994,Lydia Michaels ,/author/show/5428994.Lydia_Michaels,Unknown,4.04,https://www.goodreads.com/book/show/18714023-simple-man,18714023,       Simple Man ,Romance,Romance,244,2013,Fiction,21st century,11
5181210,Ryan Winfield ,/author/show/5181210.Ryan_Winfield,USA and Canada,3.92,https://www.goodreads.com/book/show/18632103-jane-s-melody,18632103,       Jane's Melody ,Romance,Romance,335,2013,Fiction,21st century,11
8241647,Melody Winter ,/author/show/8241647.Melody_Winter,Europe,4.15,https://www.goodreads.com/book/show/22209539-sachael-dreams,22209539,       Sachael Dreams ,Romance,Fantasy,328,2015,Fiction,21st century,11
6578897,Megan Thomason ,/author/show/6578897.Megan_Thomason,Unknown,3.66,https://www.goodreads.com/book/show/18625293-daynight,18625293,       Daynight ,Science Fiction,Young Adult,314,2012,Fiction,21st century,12
7213842,S.J. Hollis ,/author/show/7213842.S_J_Hollis,Europe,4.07,https://www.goodreads.com/book/show/18463070-bounty-hunter,18463070,       Bounty Hunter ,Fantasy,Science Fiction,247,2013,Fiction,21st century,6
14164688,Avery Kloss ,/author/show/14164688.Avery_Kloss,Asia,4.13,https://www.goodreads.com/book/show/26111096-caveman,26111096,"       Caveman: The Omnibus Edition: Books 1-3, A Time Travel Romance ",Science Fiction,See top shelves…,797,2015,Fiction,21st century,12
24009,Meljean Brook ,/author/show/24009.Meljean_Brook,Unknown,3.65,https://www.goodreads.com/book/show/11194502-wild-steamy,11194502,       Wild & Steamy ,Science Fiction,Romance,119,2011,Fiction,21st century,12
6538545,S.M. McEachern ,/author/show/6538545.S_M_McEachern,USA and Canada,4.08,https://www.goodreads.com/book/show/17312777-sunset-rising,17312777,       Sunset Rising ,Science Fiction,Young Adult,325,2013,Fiction,21st century,12
4730698,J.A. Belfield ,/author/show/4730698.J_A_Belfield,Europe,4.36,https://www.goodreads.com/book/show/13640234-make-believe,13640234,       Make Believe ,Fantasy,Fantasy,169,2012,Fiction,21st century,6
92796,Leigh Michaels ,/author/show/92796.Leigh_Michaels,Unknown,3.93,https://www.goodreads.com/book/show/25589564-magical-weddings,25589564,       Magical Weddings: 15 Enchanting Romances ,Romance,Romance,1400,2015,Fiction,21st century,11
5157472,Nikki Loftin ,/author/show/5157472.Nikki_Loftin,Unknown,3.98,https://www.goodreads.com/book/show/12452420-the-sinister-sweetness-of-splendid-academy,12452420,       The Sinister Sweetness of Splendid Academy ,Childrens,Fantasy,305,2012,Fiction,21st century,1
6151581,Tamar Hela ,/author/show/6151581.Tamar_Hela,USA and Canada,4.27,https://www.goodreads.com/book/show/25313505-spirit-lake,25313505,"       Feast Island (Spirit Lake, #1) ",Fantasy,See top shelves…,230,2012,Fiction,21st century,6
14537381,Louise Blackwick ,/author/show/14537381.Louise_Blackwick,Europe,4.5,https://www.goodreads.com/book/show/34209372-the-weaver-of-odds,34209372,       The Weaver of Odds ,Fantasy,See top shelves…,296,2017,Fiction,21st century,6
3387889,Jasmine Richards ,/author/show/3387889.Jasmine_Richards,Unknown,3.97,https://www.goodreads.com/book/show/11594414-the-book-of-wonders,11594414,       The Book of Wonders ,Fantasy,Childrens,416,2012,Fiction,21st century,6
4429726,R.J. Lewis ,/author/show/4429726.R_J_Lewis,USA and Canada,4.1,https://www.goodreads.com/book/show/26027331-borden,26027331,       Borden ,Romance,Dark,302,2015,Fiction,21st century,11
2936539,Heidi R. Kling ,/author/show/2936539.Heidi_R_Kling,USA and Canada,3.77,https://www.goodreads.com/book/show/9515613-witch-s-brew,9515613,       Witch's Brew ,Fantasy,Young Adult,342,2012,Fiction,21st century,6
14195702,A.M. Manay ,/author/show/14195702.A_M_Manay,Unknown,4.46,https://www.goodreads.com/book/show/26022957-she-dies-at-the-end,26022957,       She Dies at the End ,Fantasy,See top shelves…,446,2015,Fiction,21st century,6
